ARCID,ATYP,ADEP,ADES,RM,ARF,ETD,TT,ETA,Flight Time,Adjusted Time,CAT,Seats,Airline
VLG91LR,A320,LIMF,LEBL,ECLVU,290,16:51:00,5,17:45:00,00:54:00,00:34:00,D,173,VLG
AAO59,PC12,LEBL,LEIB,OKPCF,190,17:20:00,20,18:40:00,01:20:00,00:45:00,F,8,AAO
RYR77HR,B738,LEBL,EDDB,EIEVC,380,17:52:00,20,20:00:00,02:08:00,01:33:00,D,184,RYR
VLG833A,A320,LFPO,LEBL,ECLOB,370,16:33:00,8,17:45:00,01:12:00,00:49:00,D,173,VLG
VLG14JA,A321,LEBL,LIMC,ECNLV,300,17:51:00,11,19:00:00,01:09:00,00:43:00,D,207,VLG
TRA139T,B738,EHAM,LEBL,PHHXB,390,15:57:00,19,17:50:00,01:53:00,01:19:00,D,184,TRA
RYR88JP,B738,LEBL,EGGP,EIENM,380,17:54:00,20,19:50:00,01:56:00,01:21:00,D,184,RYR
TVF27TW,A20N,LFPO,LEBL,FHXSL,370,16:43:00,6,17:50:00,01:07:00,00:46:00,D,174,TVF
DNA412,A320,LEBL,LRBC,YRJUL,350,17:55:00,20,20:30:00,02:35:00,02:00:00,D,173,DNA
EWG56Y,A319,EDDS,LEBL,DAGWO,350,16:21:00,6,17:50:00,01:29:00,01:08:00,D,144,EWG
RYR5HQ,B38M,LEBL,LHBP,EIIJM,390,17:54:00,20,20:00:00,02:06:00,01:31:00,D,170,RYR
RYR36MJ,B738,EGSS,LEBL,9HQDA,370,16:04:00,10,17:50:00,01:46:00,01:21:00,D,184,RYR
RYR46GZ,B738,LEBL,EGSS,EIEMA,360,17:50:00,20,19:40:00,01:50:00,01:15:00,D,184,RYR
MAC373P,A320,GMMN,LEBL,CNNMS,380,15:47:00,10,17:55:00,02:08:00,01:43:00,D,173,MAC
VLG1WL,A321,LEBL,LIPZ,ECMLM,340,17:56:00,11,19:25:00,01:29:00,01:03:00,D,207,VLG
FIN01AD,A321,EFHK,LEBL,OYRUU,350,14:17:00,9,17:55:00,03:38:00,03:14:00,D,207,FIN
EJU43NP,A319,LEBL,LFSB,OELQU,340,17:58:00,20,19:20:00,01:22:00,00:47:00,D,144,EJU
VLG6ZR,A320,LEIB,LEBL,ECJTQ,180,17:11:00,10,17:55:00,00:44:00,00:19:00,D,173,VLG
VLG22ST,A321,LEBL,LIRF,ECMGZ,340,17:58:00,13,19:10:00,01:12:00,00:44:00,D,207,VLG
EZY85YZ,A319,EGKK,LEBL,GEZBX,390,16:15:00,22,18:00:00,01:45:00,01:08:00,D,144,EZY
VLG58UT,A321,LEBL,LEIB,ECMRF,190,17:47:00,17,18:30:00,00:43:00,00:11:00,D,207,VLG
VLG5CF,A321,LEBL,LIRN,ECMGY,360,17:56:00,10,19:30:00,01:34:00,01:09:00,D,207,VLG
VLG75QL,A20N,LEBL,LIRQ,ECNCS,300,17:55:00,10,19:20:00,01:25:00,01:00:00,D,174,VLG
WZZ308,A320,LBSF,LEBL,HALWE,350,15:40:00,13,18:00:00,02:20:00,01:52:00,D,173,WZZ
KLM82D,B738,LEBL,EHAM,PHBXB,360,18:04:00,10,19:50:00,01:46:00,01:21:00,D,184,KLM
VLG45EM,A320,GCLP,LEBL,ECLOP,380,15:07:00,13,18:05:00,02:58:00,02:30:00,D,173,VLG
VLG3DX,A320,LEBL,GCXO,ECMOG,370,18:11:00,11,20:55:00,02:44:00,02:18:00,D,173,VLG
IBE26TT,A332,LEBL,KBOS,ECODB,390,16:40:00,10,01:05:00,08:25:00,08:00:00,B,281,IBE
WMT7HE,A320,LRIA,LEBL,9HWBA,390,15:29:00,11,18:05:00,02:36:00,02:10:00,D,173,WMT
ABR421,B738,LEBL,LIMC,EIAZG,300,18:11:00,17,19:25:00,01:14:00,00:42:00,D,184,ABR
VLG78CE,A321,LIMC,LEBL,ECMOO,310,17:04:00,13,18:10:00,01:06:00,00:38:00,D,207,VLG
VLG4JA,A320,LEBL,EHAM,ECODN,300,18:08:00,11,20:05:00,01:57:00,01:31:00,D,173,VLG
EWG3HN,A320,EDDK,LEBL,DABZL,390,16:30:00,22,18:10:00,01:40:00,01:03:00,D,173,EWG
VLG5HM,A320,LFMN,LEBL,ECOFX,290,17:16:00,11,18:10:00,00:54:00,00:28:00,D,173,VLG
AIZ272,A21N,LEBL,LLBG,4XAGK,354,18:12:00,12,21:55:00,03:43:00,03:16:00,D,230,AIZ
SAS4685,A20N,ENGM,LEBL,SERZE,390,15:26:00,14,18:15:00,02:49:00,02:20:00,D,174,SAS
IBE04VC,A20N,LEMD,LEBL,ECNCM,300,17:27:00,16,18:15:00,00:48:00,00:17:00,D,174,IBE
RYR30FM,B738,LEBL,EIDW,9HQEK,380,18:17:00,20,20:20:00,02:03:00,01:28:00,D,184,RYR
VLG4VT,A319,LESO,LEBL,ECMIQ,280,17:11:00,7,18:15:00,01:04:00,00:42:00,D,144,VLG
CTN72E,BCS3,LDZA,LEBL,9ACAN,370,16:35:00,10,18:15:00,01:40:00,01:15:00,D,150,CTN
VLG7UR,A321,LEBL,EGKK,ECNLY,341,18:08:00,12,20:00:00,01:52:00,01:25:00,D,207,VLG
VLG55MP,A320,LIPR,LEBL,ECKDH,310,16:49:00,10,18:20:00,01:31:00,01:06:00,D,173,VLG
EWG4TR,A320,LEBL,EDDL,9HMLO,340,18:26:00,20,20:00:00,01:34:00,00:59:00,D,173,EWG
LGL93B,B737,ELLX,LEBL,LXLBR,370,16:33:00,10,18:20:00,01:47:00,01:22:00,D,145,LGL
VLG1706,A320,LEBL,LEVX,ECLAB,330,18:16:00,11,19:40:00,01:24:00,00:58:00,D,173,VLG
VLG6EB,A320,LEIB,LEBL,ECKDX,180,17:52:00,11,18:20:00,00:28:00,00:02:00,D,173,VLG
RYR651H,B738,EBBR,LEBL,EIDCN,370,16:50:00,9,18:25:00,01:35:00,01:11:00,D,184,RYR
VLG5JJ,A321,LEBL,LPPT,ECMMU,350,18:30:00,10,19:55:00,01:25:00,01:00:00,D,207,VLG
RYR6297,B738,LFBI,LEBL,9HQEW,330,17:27:00,5,18:25:00,00:58:00,00:38:00,D,184,RYR
WMT8JM,A321,LROP,LEBL,HALXL,350,15:50:00,10,18:25:00,02:35:00,02:10:00,D,207,WMT
BAW4GS,A20N,EGLL,LEBL,GTTNL,390,17:02:00,27,18:30:00,01:28:00,00:46:00,D,174,BAW
CFE49N,E190,LEBL,EGLC,GLCYU,380,18:25:00,12,20:20:00,01:55:00,01:28:00,E,104,CFE
VLG8983,A21N,EBBR,LEBL,ECNYF,350,16:59:00,9,18:30:00,01:31:00,01:07:00,D,230,VLG
WZZ6079,A21N,LEBL,LHBP,HALGN,370,18:25:00,20,20:45:00,02:20:00,01:45:00,D,230,WZZ
RYR2507,B38M,LEBL,EDDK,9HVVR,360,18:37:00,20,20:20:00,01:43:00,01:08:00,D,170,RYR
WMT2147,A21N,LIRF,LEBL,9HWAJ,350,17:23:00,14,18:35:00,01:12:00,00:43:00,D,230,WMT
TAP1036,A20N,LPPT,LEBL,CSTVD,340,16:59:00,20,18:35:00,01:36:00,01:01:00,D,174,TAP
NSZ3659,B738,LEBL,EKCH,SERPJ,370,18:34:00,20,21:10:00,02:36:00,02:01:00,D,184,NSZ
RYR24CN,B738,LEBL,LIPE,EIDCW,340,18:39:00,20,20:00:00,01:21:00,00:46:00,D,184,RYR
BEL3FJ,A320,EBBR,LEBL,OOSNK,390,17:03:00,10,18:35:00,01:32:00,01:07:00,D,173,BEL
VLG9PW,A320,LEPA,LEBL,ECMLE,180,18:02:00,17,18:40:00,00:38:00,00:06:00,D,173,VLG
VLG7GN,A320,LEBL,LEZL,ECMER,330,18:47:00,11,19:45:00,00:58:00,00:32:00,D,173,VLG
VLG768Q,A320,LEMG,LEBL,ECOJG,380,17:22:00,16,18:40:00,01:18:00,00:47:00,D,173,VLG
WZZ6366,A21N,LEBL,EPWA,9HWDP,370,18:42:00,20,21:15:00,02:33:00,01:58:00,D,230,WZZ
RYR89EE,B738,LEBL,LEIB,9HQBW,190,18:35:00,20,19:20:00,00:45:00,00:10:00,D,184,RYR
VLG4TR,A320,LEBL,LICJ,ECODM,390,18:40:00,10,20:05:00,01:25:00,01:00:00,D,173,VLG
EZY54QC,A320,EGGP,LEBL,GEZTG,390,16:56:00,10,18:45:00,01:49:00,01:24:00,D,173,EZY
RAM961U,B738,LEBL,GMMN,CNROC,390,18:33:00,12,20:25:00,01:52:00,01:25:00,D,184,RAM
VLG20PQ,A20N,LIRQ,LEBL,ECNDA,310,17:41:00,20,18:45:00,01:04:00,00:29:00,D,174,VLG
VLG362W,A321,LEBL,LPPR,ECMLD,330,18:37:00,12,20:05:00,01:28:00,01:01:00,D,207,VLG
RYR8215,B738,LEBL,EGSS,9HQBP,380,18:45:00,20,20:35:00,01:50:00,01:15:00,D,184,RYR
EZY23NU,A320,EGKK,LEBL,GEZPX,390,17:10:00,23,18:45:00,01:35:00,00:57:00,D,173,EZY
VLG7JZ,A20N,EGKK,LEBL,ECNIY,390,17:13:00,15,18:50:00,01:37:00,01:07:00,D,174,VLG
VLG5BK,A321,EHAM,LEBL,ECMQB,330,17:08:00,20,18:50:00,01:42:00,01:07:00,D,207,VLG
VLG6VF,A20N,LEBL,LEPA,ECNFK,170,19:00:00,10,19:15:00,00:15:00,00:15:00,D,174,VLG
BAW487E,A320,LEBL,EGLL,GEUUI,360,18:55:00,12,20:35:00,01:40:00,01:13:00,D,173,BAW
VJH713,E35L,LDZD,LEBL,DANCE,370,17:26:00,15,18:50:00,01:24:00,00:54:00,E,13,VJH
EZY14FN,A319,LEBL,EGKK,GEZBX,380,18:56:00,21,20:40:00,01:44:00,01:08:00,D,144,EZY
AFR32HU,BCS3,LFPG,LEBL,FHPNJ,390,17:44:00,11,18:55:00,01:11:00,00:45:00,D,150,AFR
VLG30NL,A320,LIBD,LEBL,ECOGE,350,17:02:00,8,18:55:00,01:53:00,01:30:00,D,173,VLG
TRA97B,B738,LEBL,EHEH,PHHXE,380,19:04:00,20,20:50:00,01:46:00,01:11:00,D,184,TRA
VLG234R,A320,LEBL,LFPO,ECLOB,340,18:55:00,10,20:20:00,01:25:00,01:00:00,D,173,VLG
RYR61WY,B738,EIDW,LEBL,9HQFK,370,16:58:00,18,19:00:00,02:02:00,01:29:00,D,184,RYR
DAH2015,B738,LEBL,DAAG,7TVKQ,330,18:58:00,13,19:55:00,00:57:00,00:29:00,D,184,DAH
QTR93J,B789,OTHH,LEBL,A7BHO,400,13:00:00,10,19:00:00,06:00:00,05:35:00,B,284,QTR
EWG2MC,A319,LEBL,EDDS,DAGWO,340,19:06:00,20,20:35:00,01:29:00,00:54:00,D,144,EWG
RYR886W,B738,LIMC,LEBL,EIEBF,330,17:57:00,13,19:00:00,01:03:00,00:35:00,D,184,RYR
AEA46CY,B789,LEBL,LEMD,ECNCY,290,18:41:00,11,19:55:00,01:14:00,00:48:00,B,284,AEA
VLG3071,A320,LTFM,LEBL,ECMCU,360,16:03:00,20,19:05:00,03:02:00,02:27:00,D,173,VLG
VLG9EA,A320,LPPT,LEBL,ECOFH,402,17:36:00,19,19:05:00,01:29:00,00:55:00,D,173,VLG
VLG6FK,A320,LEBL,GCLP,ECLOP,350,19:09:00,11,21:50:00,02:41:00,02:15:00,D,173,VLG
TVF30VJ,A20N,LEBL,LFPO,FHXSL,340,19:08:00,20,20:25:00,01:17:00,00:42:00,D,174,TVF
IBE04VK,A319,LEMD,LEBL,ECKUB,280,18:16:00,16,19:05:00,00:49:00,00:18:00,D,144,IBE
RYR70PE,B738,LEBL,LIPQ,9HQDA,380,19:10:00,20,20:50:00,01:40:00,01:05:00,D,184,RYR
NOZ3WD,A320,LEBL,ENGM,OYJRK,350,19:10:00,16,21:55:00,02:45:00,02:14:00,D,173,NOZ
ASL18J,A319,LEBL,LYBE,YUAPK,350,19:00:00,20,21:15:00,02:15:00,01:40:00,D,144,ASL
AUA34R,A321,LEBL,LOWW,OELBC,360,19:11:00,10,21:10:00,01:59:00,01:34:00,D,207,AUA
VLG6167,A320,LIEE,LEBL,ECLLJ,360,18:10:00,15,19:10:00,01:00:00,00:30:00,D,173,VLG
WZZ9DE,A21N,EPGD,LEBL,9HWDX,370,16:35:00,13,19:10:00,02:35:00,02:07:00,D,230,WZZ
VLG63QF,A320,LEBL,LEST,ECMYB,330,19:07:00,17,20:30:00,01:23:00,00:51:00,D,173,VLG
TRA75Y,B738,LEBL,EHRD,PHHXB,380,19:18:00,20,20:55:00,01:37:00,01:02:00,D,184,TRA
VLG7FJ,A20N,LFPO,LEBL,ECNCU,390,18:14:00,10,19:15:00,01:01:00,00:36:00,D,174,VLG
RYR4WR,B738,GMFF,LEBL,EIDPH,380,17:40:00,15,19:15:00,01:35:00,01:05:00,D,184,RYR
VLG3TJ,A320,LEBL,LEAS,ECJTQ,330,19:11:00,11,20:20:00,01:09:00,00:43:00,D,173,VLG
WZZ4RZ,A320,LYBE,LEBL,HALYG,350,17:08:00,13,19:15:00,02:07:00,01:39:00,D,173,WZZ
MAC374N,A320,LEBL,GMMN,CNNMS,370,19:02:00,20,20:55:00,01:53:00,01:18:00,D,173,MAC
DLH66Y,A321,EDDM,LEBL,DAIRF,370,17:52:00,12,19:20:00,01:28:00,01:01:00,D,207,DLH
SWR193B,A320,LEBL,LSZH,HBIJQ,360,19:15:00,10,20:40:00,01:25:00,01:00:00,D,173,SWR
VLG1ZV,A321,LEBL,LEMG,ECMOO,350,19:10:00,10,20:30:00,01:20:00,00:55:00,D,207,VLG
AEA23GZ,B738,LEPA,LEBL,ECLQX,180,18:49:00,17,19:20:00,00:31:00,00:15:00,D,184,AEA
RYR94YE,B738,LEBL,LPPR,EIDCN,330,19:24:00,20,20:50:00,01:26:00,00:51:00,D,184,RYR
AAR512,A359,LEBL,RKSI,HL7578,390,19:25:00,13,06:25:00,11:00:00,10:32:00,B,297,AAR
FPY6,A20N,BIKF,LEBL,TFPPD,390,15:30:00,10,19:25:00,03:55:00,03:30:00,D,174,FPY
WZZ912,A320,LEBL,LBSF,HALWE,390,18:59:00,9,21:45:00,02:46:00,02:22:00,D,173,WZZ
VLG3RB,A320,LEBL,LECO,ECOFX,330,19:20:00,10,20:45:00,01:25:00,01:00:00,D,173,VLG
RYR7495,B738,EGSS,LEBL,EIGXN,370,17:49:00,10,19:30:00,01:41:00,01:16:00,D,184,RYR
UAE2X,A388,LEBL,OMDB,A6EOT,390,19:16:00,16,01:40:00,06:24:00,05:53:00,A,492,UAE
VLG95DK,A320,LEBL,LIEE,ECKDH,340,19:26:00,11,20:40:00,01:14:00,00:48:00,D,173,VLG
RYR8PW,B738,LEBL,LEPA,9HQEW,190,19:27:00,20,20:00:00,00:33:00,00:15:00,D,184,RYR
WMT773,A21N,LATI,LEBL,9HWDR,360,17:39:00,14,19:35:00,01:56:00,01:27:00,D,230,WMT
RYR807B,B738,LEBL,LIME,EIENF,340,19:36:00,21,20:50:00,01:14:00,00:38:00,D,184,RYR
WMT1EW,A20N,LEBL,LRIA,9HWBA,390,19:24:00,20,22:20:00,02:56:00,02:21:00,D,174,WMT
LBT608,A320,DTTA,LEBL,TSINU,360,18:15:00,10,19:35:00,01:20:00,00:55:00,D,173,LBT
EWG5PJ,A320,LEBL,EDDK,DABZL,360,19:33:00,20,21:25:00,01:52:00,01:17:00,D,173,EWG
EZY97KW,A320,EGCC,LEBL,GEZUZ,390,17:50:00,14,19:40:00,01:50:00,01:21:00,D,173,EZY
BAW49TA,A20N,LEBL,EGLL,GTTNL,380,19:32:00,12,21:25:00,01:53:00,01:26:00,D,174,BAW
CTN375,BCS3,LEBL,LDZA,9ACAN,360,19:33:00,11,21:30:00,01:57:00,01:31:00,D,150,CTN
VLG9CP,A20N,LEAL,LEBL,ECNDB,300,18:47:00,9,19:40:00,00:53:00,00:29:00,D,174,VLG
VLG67DR,A320,EGKK,LEBL,ECMAN,390,18:08:00,14,19:40:00,01:32:00,01:03:00,D,173,VLG
VLG2UA,A21N,LEBL,LEMH,ECNYF,190,19:37:00,10,20:10:00,00:33:00,00:08:00,D,230,VLG
SAS4686,A20N,LEBL,ENGM,SERZE,390,19:40:00,10,22:35:00,02:55:00,02:30:00,D,174,SAS
VLG91ZA,A320,LIRF,LEBL,ECMGE,350,18:32:00,16,19:45:00,01:13:00,00:42:00,D,173,VLG
IBE04AR,A20N,LEBL,LEMD,ECNCM,330,19:08:00,12,20:40:00,01:32:00,01:05:00,D,174,IBE
VLG2482,A320,LEBL,LDSP,ECOJG,380,19:41:00,11,21:20:00,01:39:00,01:13:00,D,173,VLG
VLG6UX,A319,LEBL,LFMN,ECMIQ,300,19:47:00,10,20:45:00,00:58:00,00:33:00,D,144,VLG
VLG2NC,A20N,LEMG,LEBL,ECNCF,380,18:36:00,11,19:50:00,01:14:00,00:48:00,D,174,VLG
WMT8825,A21N,LEBL,LIRF,9HWAJ,360,19:55:00,20,21:10:00,01:15:00,00:40:00,D,230,WMT
VLG66ED,A320,EHAM,LEBL,ECMVO,390,18:17:00,17,19:55:00,01:38:00,01:06:00,D,173,VLG
LGL94EL,B737,LEBL,ELLX,LXLBR,340,19:46:00,21,21:30:00,01:44:00,01:08:00,D,145,LGL
VLG77EC,A20N,LEBL,EGKK,ECNIY,380,19:57:00,13,21:40:00,01:43:00,01:15:00,D,174,VLG
WMT48BT,A321,LEBL,LROP,HALXL,360,19:47:00,20,22:30:00,02:43:00,02:08:00,D,207,WMT
DAH2018,B738,DAOO,LEBL,7TVJK,280,18:53:00,8,20:00:00,01:07:00,00:44:00,D,184,DAH
VLG5WQ,A321,LEBL,LEPA,ECMQB,150,19:51:00,11,20:25:00,00:34:00,00:08:00,D,207,VLG
EZY41GN,A320,EGGD,LEBL,GEZPB,390,18:14:00,9,20:00:00,01:46:00,01:22:00,D,173,EZY
BEL7JN,A320,LEBL,EBBR,OOSNK,340,20:01:00,11,21:30:00,01:29:00,01:03:00,D,173,BEL
AFR45GN,BCS3,LEBL,LFPG,FHPNJ,340,20:04:00,11,21:20:00,01:16:00,00:50:00,D,150,AFR
ELY391,B738,LLBG,LEBL,4XEKF,380,15:50:00,15,20:00:00,04:10:00,03:40:00,D,184,ELY
WMT6YB,A21N,LOWW,LEBL,9HWDV,350,18:21:00,11,20:05:00,01:44:00,01:18:00,D,230,WMT
EZY25YX,A320,LEBL,EGGP,GEZPX,380,20:07:00,21,22:05:00,01:58:00,01:22:00,D,173,EZY
ANE28LD,CRJX,LELN,LEBL,ECLJX,320,19:20:00,5,20:05:00,00:45:00,00:25:00,E,100,ANE
EJU93FV,A319,LSGG,LEBL,OELKC,290,19:05:00,10,20:05:00,01:00:00,00:35:00,D,144,EJU
TAP38KJ,A320,LPPT,LEBL,9HGTS,340,18:19:00,14,20:05:00,01:46:00,01:17:00,D,173,TAP
EZY52QF,A320,LEBL,EGKK,GEZTG,360,20:11:00,21,21:50:00,01:39:00,01:03:00,D,173,EZY
VLG9VT,A321,LEIB,LEBL,ECMRF,180,19:21:00,10,20:10:00,00:49:00,00:24:00,D,207,VLG
TAP37GT,A20N,LEBL,LPPT,CSTVD,350,20:13:00,11,21:40:00,01:27:00,01:01:00,D,174,TAP
VLG24BW,A320,LEZL,LEBL,ECMBY,340,18:34:00,12,20:10:00,01:36:00,01:09:00,D,173,VLG
EIN5ME,A320,EIDW,LEBL,EIDEI,370,18:15:00,20,20:10:00,01:55:00,01:20:00,D,173,EIN
VLG454D,A320,LEBL,LEIB,ECOGE,190,20:05:00,10,20:50:00,00:45:00,00:20:00,D,173,VLG
RYR1JX,B738,LEBL,LEZL,EIEBF,370,20:10:00,20,21:20:00,01:10:00,00:35:00,D,184,RYR
SWT973P,AT43,LEMD,LEBL,ECJAD,220,18:46:00,16,20:15:00,01:29:00,00:58:00,E,49,SWT
VLG75GT,A320,LEBL,GMMX,ECOFH,370,20:18:00,12,22:15:00,01:57:00,01:30:00,D,173,VLG
VLG8581,A320,LATI,LEBL,ECJTQ,390,18:25:00,10,20:20:00,01:55:00,01:30:00,D,173,VLG
AEA48JV,B738,LEBL,LEPA,ECLQX,170,20:21:00,10,20:50:00,00:29:00,00:04:00,D,184,AEA
TVF67BM,A20N,LFPO,LEBL,FHXSA,370,19:17:00,11,20:30:00,01:13:00,00:47:00,D,174,TVF
KLM71Z,B738,EHAM,LEBL,PHBXA,410,18:52:00,20,20:30:00,01:38:00,01:03:00,D,184,KLM
NSZ6KY,B738,ESGG,LEBL,SERPE,390,18:11:00,8,20:35:00,02:24:00,02:01:00,D,184,NSZ
WZZ317,A21N,LEBL,EPGD,9HWDX,360,20:40:00,20,23:10:00,02:30:00,01:55:00,D,230,WZZ
THY8HC,B738,LTFM,LEBL,TCJZE,370,17:28:00,20,20:35:00,03:07:00,02:32:00,D,184,THY
